id,ballkid,year,furthest_day,furthest_date,self_cut
111,552,2022,Saturday,2022-08-06,0
112,566,2022,Monday,2022-08-01,0
113,554,2022,Saturday,2022-08-06,0
114,548,2022,Friday,2022-08-05,0
115,544,2022,Tuesday,2022-08-02,0
116,524,2022,Saturday,2022-08-06,0
117,525,2022,Saturday,2022-08-06,0
118,576,2022,Tuesday,2022-08-02,0
119,564,2022,Tuesday,2022-08-02,0
120,538,2022,Monday,2022-08-01,0
121,515,2022,Friday,2022-08-05,0
122,559,2022,Friday,2022-08-05,0
123,555,2022,Saturday,2022-08-06,0
124,518,2022,Thursday,2022-08-04,0
125,546,2022,Thursday,2022-08-04,0
126,574,2022,Wednesday,2022-08-03,0
127,577,2022,Monday,2022-08-01,0
128,542,2022,Thursday,2022-08-04,0
129,567,2022,Thursday,2022-08-04,0
130,549,2022,Friday,2022-08-05,0
131,536,2022,Saturday,2022-08-06,0
132,541,2022,Wednesday,2022-08-03,0
133,551,2022,Saturday,2022-08-06,0
134,521,2022,Thursday,2022-08-04,0
135,531,2022,Friday,2022-08-05,0
136,526,2022,Tuesday,2022-08-02,0
137,568,2022,Wednesday,2022-08-03,0
138,561,2022,Wednesday,2022-08-03,0
139,562,2022,Monday,2022-08-01,0
140,535,2022,Friday,2022-08-05,0
141,512,2022,Wednesday,2022-08-03,0
142,598,2022,Thursday,2022-08-04,0
143,543,2022,Saturday,2022-08-06,0
144,588,2022,Thursday,2022-08-04,0
145,558,2022,Saturday,2022-08-06,0
146,534,2022,Friday,2022-08-05,0
147,520,2022,Saturday,2022-08-06,0
148,547,2022,Friday,2022-08-05,0
149,527,2022,Friday,2022-08-05,0
150,522,2022,Wednesday,2022-08-03,0
153,526,2023,Saturday,2023-07-29,0
154,576,2023,Saturday,2023-07-29,0
155,540,2023,Sunday,2023-07-30,0
156,533,2023,Monday,2023-07-31,0
157,516,2023,Wednesday,2023-08-02,0
158,561,2023,Wednesday,2023-08-02,0
159,568,2023,Wednesday,2023-08-02,0
160,511,2023,Wednesday,2023-08-02,0
161,640,2023,Wednesday,2023-08-02,0
162,579,2023,Wednesday,2023-08-02,0
163,608,2023,Wednesday,2023-08-02,0
164,618,2023,Wednesday,2023-08-02,0
165,610,2023,Wednesday,2023-08-02,0
166,523,2023,Wednesday,2023-08-02,0
167,577,2023,Wednesday,2023-08-02,0
168,605,2023,Wednesday,2023-08-02,0
169,529,2023,Wednesday,2023-08-02,0
170,546,2023,Wednesday,2023-08-02,0
172,522,2023,Wednesday,2023-08-02,0
173,512,2023,Wednesday,2023-08-02,0
174,537,2023,Wednesday,2023-08-02,0
175,564,2023,Wednesday,2023-08-02,0
176,630,2023,Wednesday,2023-08-02,0
178,627,2023,Wednesday,2023-08-02,0
179,541,2023,Wednesday,2023-08-02,0
180,633,2023,Wednesday,2023-08-02,0
181,614,2023,Wednesday,2023-08-02,0
182,622,2023,Wednesday,2023-08-02,0
183,517,2023,Wednesday,2023-08-02,0
184,607,2023,Thursday,2023-08-03,0
185,612,2023,Thursday,2023-08-03,0
186,606,2023,Thursday,2023-08-03,0
187,535,2023,Thursday,2023-08-03,0
188,542,2023,Thursday,2023-08-03,0
189,538,2023,Thursday,2023-08-03,0
190,545,2023,Thursday,2023-08-03,0
191,631,2023,Thursday,2023-08-03,0
192,560,2023,Thursday,2023-08-03,0
193,621,2023,Thursday,2023-08-03,0
194,548,2023,Saturday,2023-08-05,0
195,532,2023,Saturday,2023-08-05,0
196,515,2023,Saturday,2023-08-05,0
197,544,2023,Saturday,2023-08-05,0
198,547,2023,Saturday,2023-08-05,0
199,518,2023,Saturday,2023-08-05,0
200,584,2023,Saturday,2023-08-05,0
201,588,2023,Saturday,2023-08-05,0
202,575,2023,Saturday,2023-08-05,0
203,566,2023,Saturday,2023-08-05,0
204,595,2023,Saturday,2023-08-05,0
205,571,2023,Saturday,2023-08-05,0
206,628,2023,Saturday,2023-08-05,0
207,598,2023,Saturday,2023-08-05,0
208,626,2023,Saturday,2023-08-05,0
209,536,2023,Saturday,2023-08-05,0
210,629,2023,Saturday,2023-08-05,0
211,624,2023,Saturday,2023-08-05,0
212,620,2023,Saturday,2023-08-05,0
213,619,2023,Saturday,2023-08-05,0
214,615,2023,Saturday,2023-08-05,0
215,609,2023,Saturday,2023-08-05,0
216,634,2023,Saturday,2023-08-05,0
217,616,2023,Saturday,2023-08-05,0
218,617,2023,Saturday,2023-08-05,0
219,611,2023,Saturday,2023-08-05,0
220,623,2023,Saturday,2023-08-05,0
221,639,2023,Saturday,2023-08-05,0
222,637,2023,Saturday,2023-08-05,0
223,632,2023,Saturday,2023-08-05,0
224,613,2023,Saturday,2023-08-05,0
225,528,2023,Saturday,2023-08-05,0
226,514,2023,Saturday,2023-08-05,0
227,519,2023,Saturday,2023-08-05,0
