id,ballkid,match_type,count,years
92,585,Men's Doubles,1,2017
93,585,Women's Singles,2,"2019,2022"
95,592,Men's Doubles,1,2017
96,592,Women's Singles,2,2015
97,581,Men's Singles,3,"2021,2022"
98,581,Men's Doubles,0,
101,590,Men's Doubles,1,2015
102,590,Women's Singles,1,2022
103,587,Men's Singles,4,"2021,2022"
104,587,Men's Doubles,1,2017
106,579,Men's Singles,0,
107,579,Men's Doubles,0,
108,579,Women's Singles,2,2019
109,595,Men's Singles,1,2022
110,595,Men's Doubles,2,2021
111,595,Women's Singles,1,2016
112,574,Men's Singles,0,
113,574,Men's Doubles,0,
115,577,Men's Singles,1,2016
116,577,Men's Doubles,0,
117,577,Women's Singles,0,
118,575,Men's Singles,1,2022
119,575,Men's Doubles,0,
120,575,Women's Singles,1,2019
121,589,Men's Singles,3,"2021,2022"
122,589,Men's Doubles,1,2018
123,589,Women's Singles,0,
124,596,Men's Singles,6,2021
125,596,Men's Doubles,2,"2013,2022"
128,594,Men's Doubles,0,
129,594,Women's Singles,2,2019
130,582,Men's Singles,1,2022
132,582,Women's Singles,1,2019
133,593,Men's Singles,3,"2021,2022"
135,593,Women's Singles,1,2016
136,588,Men's Singles,0,
137,588,Men's Doubles,2,2021
138,588,Women's Singles,0,
140,580,Men's Doubles,2,2021
141,580,Women's Singles,1,2018
142,578,Men's Singles,1,2021
143,578,Men's Doubles,0,
144,578,Women's Singles,2,2019
146,599,Men's Doubles,0,
147,599,Women's Singles,4,"2019,2022"
148,572,Men's Singles,1,2022
150,572,Women's Singles,0,
151,571,Men's Singles,0,
152,571,Men's Doubles,1,2022
153,571,Women's Singles,0,
154,584,Men's Singles,0,
155,584,Men's Doubles,1,2022
156,584,Women's Singles,0,
158,565,Men's Doubles,1,2022
159,565,Women's Singles,0,
160,570,Men's Singles,0,
161,570,Men's Doubles,1,2022
162,570,Women's Singles,0,
164,553,Men's Doubles,0,
165,553,Women's Singles,1,2022
166,558,Men's Singles,0,
167,558,Men's Doubles,0,
168,558,Women's Singles,1,2022
170,556,Men's Doubles,0,
171,556,Women's Singles,1,2022
172,557,Men's Singles,0,
173,557,Men's Doubles,0,
175,573,Men's Singles,0,
176,573,Men's Doubles,0,
177,573,Women's Singles,1,2022
126,596,Women's Singles,2,"2015,2023"
145,599,Men's Singles,5,"2021,2023"
99,581,Women's Singles,3,"2018,2023"
100,590,Men's Singles,6,"2021,2023"
105,587,Women's Singles,1,2023
131,582,Men's Doubles,1,2023
139,580,Men's Singles,1,2023
149,572,Men's Doubles,1,2023
127,594,Men's Singles,4,"2021,2022,2023"
163,553,Men's Singles,1,2023
94,592,Men's Singles,4,"2021,2022,2023"
91,585,Men's Singles,3,"2021,2023"
134,593,Men's Doubles,3,"2014,2023"
157,565,Men's Singles,1,2023
179,597,Men's Doubles,3,"2014,2021,2022"
180,597,Men's Singles,3,"2015,2016,2018"
181,525,Women's Singles,1,2023
182,521,Women's Doubles,1,2023
174,557,Women's Singles,2,"2022,2023"
183,554,Men's Doubles,1,2023
184,552,Women's Singles,1,2023
185,520,Women's Singles,1,2023
186,513,Men's Doubles,1,2023
187,534,Women's Doubles,1,2023
188,524,Women's Singles,1,2023
189,549,Men's Doubles,1,2023
190,589,Women's Doubles,1,2023
191,573,Women's Doubles,1,2023
192,563,Women's Doubles,1,2023
193,583,Men's Doubles,1,2023
194,591,Men's Singles,1,2023
114,574,Women's Singles,2,"2019,2023"
195,625,Women's Doubles,1,2023
196,635,Women's Doubles,1,2023
197,559,Women's Doubles,1,2023
178,597,Women's Singles,3,"2013,2017,2023"
198,562,Men's Doubles,1,2023
199,527,Women's Doubles,1,2023
200,551,Women's Doubles,1,2023
201,550,Men's Doubles,1,2023
202,636,Women's Doubles,1,2023
169,556,Men's Singles,1,2023
